date,site_code,sku,quantity
2020-01-01,US100,1000,77
2020-01-01,US100,1001,21
2020-01-01,US100,1002,53
2020-01-01,US100,1003,31
2020-01-01,US100,1004,61
2020-01-01,PE101,1000,33
2020-01-01,PE101,1001,10
2020-01-01,PE101,1002,2
2020-01-01,PE101,1003,11
2020-01-01,PE101,1004,27
2020-01-01,CO102,1000,1
2020-01-01,CO102,1001,25
2020-01-01,CO102,1002,67
2020-01-01,CO102,1003,12
2020-01-01,CO103,1000,11
2020-01-01,CO103,1001,17
2020-01-01,CO103,1002,2
2020-01-01,CO103,1003,35
2020-01-01,CO103,1004,12
2020-01-01,CO104,1000,28
2020-01-01,CO104,1001,5
2020-01-01,CO104,1002,40
2020-01-01,CO104,1003,11
2020-01-01,CO104,1004,57
2020-01-01,CA105,1000,24
2020-01-01,CA105,1002,37
2020-01-01,CA105,1003,49
2020-01-01,CA105,1004,46
2020-01-01,MX106,1000,16
2020-01-01,MX106,1001,18
2020-01-01,MX106,1002,54
2020-01-01,MX106,1003,35
2020-01-01,MX106,1004,14
2020-01-01,MX107,1000,24
2020-01-01,MX107,1001,4
2020-01-01,MX107,1002,17
2020-01-01,MX107,1003,27
2020-01-01,MX107,1004,35
2020-01-01,CO108,1000,35
2020-01-01,CO108,1001,22
2020-01-01,CO108,1002,15
2020-01-01,CO108,1003,21
2020-01-01,CO108,1004,22
2020-01-01,EC109,1000,39
2020-01-01,EC109,1001,7
2020-01-01,EC109,1002,6
2020-01-01,EC109,1003,59
2020-01-01,EC109,1004,7
2020-01-01,EC110,1000,7
2020-01-01,EC110,1001,35
2020-01-01,EC110,1002,15
2020-01-01,EC110,1003,53
2020-01-01,EC110,1004,33
2020-01-01,CA111,1000,101
2020-01-01,CA111,1001,20
2020-01-01,CA111,1002,25
2020-01-01,CA111,1004,9
2020-01-01,CO112,1000,27
2020-01-01,CO112,1001,8
2020-01-01,CO112,1002,16
2020-01-01,CO112,1003,17
2020-01-01,CO112,1004,14
2020-01-01,CO113,1000,2
2020-01-01,CO113,1001,22
2020-01-01,CO113,1002,36
2020-01-01,CO113,1003,20
2020-01-01,CO113,1004,15
2020-01-01,PE114,1000,44
